ENSG00000112237	ENSG00000159479	Protein	Protein	PPI
ENSG00000073584	ENSG00000082014	Protein	Protein	PPI
ENSG00000100065	ENSG00000278259	Protein	Protein	PPI
ENSG00000100393	ENSG00000160741	Protein	Protein	PPI
ENSG00000157212	ENSG00000160062	Protein	Protein	PPI
ENSG00000118260	ENSG00000197386	Protein	Protein	PPI
ENSG00000069956	ENSG00000233276	Protein	Protein	PPI
ENSG00000111530	ENSG00000156482	Protein	Protein	PPI
ENSG00000106290	ENSG00000153767	Protein	Protein	PPI
ENSG00000065559	ENSG00000188554	Protein	Protein	PPI
ENSG00000111530	ENSG00000144028	Protein	Protein	PPI
ENSG00000129083	ENSG00000168394	Protein	Protein	PPI
ENSG00000132938	ENSG00000197566	Protein	Protein	PPI
ENSG00000115053	ENSG00000117748	Protein	Protein	PPI
ENSG00000078369	ENSG00000186469	Protein	Protein	PPI
ENSG00000139350	ENSG00000169813	Protein	Protein	PPI
ENSG00000100075	ENSG00000136997	Protein	Protein	PPI
ENSG00000176009	ENSG00000196628	Protein	Protein	PPI
ENSG00000168283	ENSG00000184402	Protein	Protein	PPI
ENSG00000108883	ENSG00000167978	Protein	Protein	PPI
ENSG00000094916	ENSG00000275714	Protein	Protein	PPI
ENSG00000105974	ENSG00000129219	Protein	Protein	PPI
ENSG00000072210	ENSG00000105063	Protein	Protein	PPI
ENSG00000162231	ENSG00000183207	Protein	Protein	PPI
ENSG00000111725	ENSG00000185651	Protein	Protein	PPI
ENSG00000136273	ENSG00000172613	Protein	Protein	PPI
ENSG00000110651	ENSG00000142208	Protein	Protein	PPI
ENSG00000103266	ENSG00000130830	Protein	Protein	PPI
ENSG00000073711	ENSG00000162650	Protein	Protein	PPI
ENSG00000161011	ENSG00000164924	Protein	Protein	PPI
ENSG00000067596	ENSG00000175387	Protein	Protein	PPI
ENSG00000134283	ENSG00000139350	Protein	Protein	PPI
ENSG00000102178	ENSG00000110955	Protein	Protein	PPI
ENSG00000036257	ENSG00000178952	Protein	Protein	PPI
ENSG00000116044	ENSG00000197063	Protein	Protein	PPI
